dataset,slice_name,method,display_label,primary_quality_metric,primary_quality_score,avg_answer_latency_sec,avg_frame_ingest_latency_sec,avg_ttft_sec,peak_memory_bytes,peak_cpu_offload_bytes,total_frames_ingested,total_conversations_answered,source_path
rvs_movie,subsample5_movie,full_streaming,full_streaming,avg_judge_score,0.7733333333333335,0.4889694402668586,0.03184126311275433,0.01568574060050499,2998404608,,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk32_memavg/full_streaming/full_streaming.json
rvs_movie,subsample5_movie,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.7733333333333334,0.5032399087339097,0.024273402947092695,0.030701082133843254,3062294016,,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk32_memavg/duo_streaming/duo_streaming_s05.json
rvs_movie,subsample5_movie,rekv,"rekv (topk=32,n_local=15000)",avg_judge_score,0.7866666666666667,0.5928763095995236,0.0361261626882099,0.023113165266113355,2822692864,744210432,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk32_memavg/rekv/rekv_topk32_nlocal15000.json
rvs_movie,subsample5_movie,duo_plus_rekv,"duo_plus_rekv (topk=32,s=0.5)",avg_judge_score,0.7866666666666667,0.8483253905333792,0.03549502809543874,0.03211354820014094,2831975936,739393536,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk32_memavg/duo_plus_rekv/duo_plus_rekv_s05_sink256_recent512_topk32_nlocal15000.json
rvs_movie,subsample5_movie,duo_plus_rekv,"duo_plus_rekv (topk=32,s=0.75)",avg_judge_score,0.7866666666666668,0.920597787466492,0.03648546177908195,0.03291105526683775,2828547584,739393536,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk32_memavg/duo_plus_rekv/duo_plus_rekv_s075_sink256_recent512_topk32_nlocal15000.json
rvs_movie,subsample5_movie_offset5,full_streaming,full_streaming,avg_judge_score,0.7466666666666667,0.34148857633311613,0.05553758768201929,0.023022929799966126,4156259328,,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk32_memavg/full_streaming/full_streaming.json
rvs_movie,subsample5_movie_offset5,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.7733333333333335,0.4684996080672136,0.04017266529623205,0.06415081320058864,4279611392,,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk32_memavg/duo_streaming/duo_streaming_s05.json
rvs_movie,subsample5_movie_offset5,rekv,"rekv (topk=32,n_local=15000)",avg_judge_score,0.8000000000000002,0.6223867689999073,0.037754852752355794,0.02271249500045087,2715883008,1536589824,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk32_memavg/rekv/rekv_topk32_nlocal15000.json
rvs_movie,subsample5_movie_offset5,duo_plus_rekv,"duo_plus_rekv (topk=32,s=0.5)",avg_judge_score,0.8000000000000002,0.7966785297993435,0.03668920838958636,0.03120481320002,2726424064,1531772928,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk32_memavg/duo_plus_rekv/duo_plus_rekv_s05_sink256_recent512_topk32_nlocal15000.json
rvs_movie,subsample5_movie_offset5,duo_plus_rekv,"duo_plus_rekv (topk=32,s=0.75)",avg_judge_score,0.8000000000000002,0.7470027480000377,0.03727962116033747,0.032185442199988756,2722996736,1531772928,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk32_memavg/duo_plus_rekv/duo_plus_rekv_s075_sink256_recent512_topk32_nlocal15000.json
