dataset,slice_name,method,avg_judge_score,avg_rouge_l_f1,avg_token_f1,avg_answer_latency_sec,peak_memory_gib,source_json
rvs_ego,subsample5,full_streaming,0.7733333333333334,0.18427013496232564,0.186353468295659,1.5984613719998986,4.806306838989258,outputs/evaluations_streaming/rvs-ego/subsample5/full_streaming/full_streaming.json
rvs_ego,subsample5,duo_streaming_s05,0.7733333333333334,0.2048708503762267,0.21254280804818437,1.3657207712664483,3.379406452178955,outputs/evaluations_streaming/rvs-ego/subsample5/duo_streaming/duo_streaming_s05.json
rvs_ego,subsample5,duo_streaming_s00,0.7733333333333334,0.19024494024494026,0.19229622229622229,2.428577937666705,4.787559986114502,outputs/evaluations_streaming/rvs-ego/subsample5/duo_streaming/duo_streaming_s00.json
rvs_ego,subsample5,rekv,0.7733333333333334,0.19176262935028712,0.21286542142082113,0.9185011176001959,2.6685214042663574,outputs/evaluations_streaming/rvs-ego/subsample5/rekv/rekv_topk64_nlocal15000.json
rvs_ego,subsample5,duo_plus_rekv_s0375,0.7733333333333334,0.2152318662550711,0.23227329114224066,0.91707099420067,2.658268928527832,outputs/evaluations_streaming/rvs-ego/subsample5_ab_tuning/duo_plus_rekv/duo_plus_rekv_s0375_topk64_nlocal15000.json
rvs_ego,subsample5_offset5,full_streaming,0.7866666666666668,0.2070243747912172,0.2316397594066018,1.6041702245997536,4.80369758605957,outputs/evaluations_streaming/rvs-ego/subsample5_offset5/full_streaming/full_streaming.json
rvs_ego,subsample5_offset5,duo_streaming_s05,0.7733333333333335,0.21820421940212045,0.24926317481452415,1.8827698330000808,3.3792543411254883,outputs/evaluations_streaming/rvs-ego/subsample5_offset5/duo_streaming/duo_streaming_s05.json
rvs_ego,subsample5_offset5,duo_streaming_s00,0.7733333333333335,0.23450437395116908,0.26260266454945963,2.2673502546667197,4.786590576171875,outputs/evaluations_streaming/rvs-ego/subsample5_offset5/duo_streaming/duo_streaming_s00.json
rvs_ego,subsample5_offset5,rekv,0.8000000000000002,0.20233378657246467,0.23085942759810568,1.2582702272663786,2.6671390533447266,outputs/evaluations_streaming/rvs-ego/subsample5_offset5/rekv/rekv_topk64_nlocal15000.json
rvs_ego,subsample5_offset5,duo_plus_rekv_s0375,0.7866666666666668,0.20634206945504585,0.2284077193224199,1.305536073933763,2.6580357551574707,outputs/evaluations_streaming/rvs-ego/subsample5_offset5_ab_tuning/duo_plus_rekv/duo_plus_rekv_s0375_topk64_nlocal15000.json
rvs_movie,subsample5_movie,full_streaming,0.8000000000000002,0.07914282211801134,0.09807861532209725,1.7508441963999455,3.977376937866211,outputs/evaluations_streaming/rvs-movie/subsample5_movie/full_streaming/full_streaming.json
rvs_movie,subsample5_movie,duo_streaming_s05,0.7866666666666667,0.08898907628917624,0.10849163703887657,2.18852869093292,2.936610221862793,outputs/evaluations_streaming/rvs-movie/subsample5_movie/duo_streaming/duo_streaming_s05.json
rvs_movie,subsample5_movie,duo_streaming_s00,0.8133333333333336,0.08557846398909069,0.10018163859226531,2.5107661043335003,3.9635982513427734,outputs/evaluations_streaming/rvs-movie/subsample5_movie/duo_streaming/duo_streaming_s00.json
rvs_movie,subsample5_movie,rekv,0.8000000000000002,0.09281935732564285,0.1018547663610519,1.3105930630663352,2.7909140586853027,outputs/evaluations_streaming/rvs-movie/subsample5_movie/rekv/rekv_topk64_nlocal15000.json
rvs_movie,subsample5_movie,duo_plus_rekv_s0375,0.7866666666666667,0.09414486125983544,0.09885599944645337,1.6460887005331946,2.7815608978271484,outputs/evaluations_streaming/rvs-movie/subsample5_movie/duo_plus_rekv/duo_plus_rekv_s0375_topk64_nlocal15000.json
rvs_movie,subsample5_movie_offset5,full_streaming,0.7733333333333335,0.11258756017607613,0.1339743351657923,3.726220891200258,6.420140743255615,outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/full_streaming/full_streaming.json
rvs_movie,subsample5_movie_offset5,duo_streaming_s05,0.7866666666666668,0.12138720702087452,0.1341288475642392,3.9887600507337386,4.24828577041626,outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/duo_streaming/duo_streaming_s05.json
rvs_movie,subsample5_movie_offset5,duo_streaming_s00,0.7733333333333335,0.1116277110820678,0.13311694508817742,6.015438902533303,6.400321006774902,outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/duo_streaming/duo_streaming_s00.json
rvs_movie,subsample5_movie_offset5,rekv,0.8000000000000002,0.1289096891055438,0.14878854108381404,1.3319125883999126,2.6896281242370605,outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/rekv/rekv_topk64_nlocal15000.json
rvs_movie,subsample5_movie_offset5,duo_plus_rekv_s0375,0.8000000000000002,0.12998861826099412,0.14548882692801815,1.4920666000000589,2.6804404258728027,outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/duo_plus_rekv/duo_plus_rekv_s0375_topk64_nlocal15000.json
