8.906250000000000000e-01	9.687500000000000000e-01
7.460937500000000000e-01	2.651214599609375000e-04
7.929687500000000000e-01	1.000000000000000000e+00
7.265625000000000000e-01	-2.166748046875000000e-03
9.960937500000000000e-02	7.656250000000000000e-01
9.843750000000000000e-01	4.179687500000000000e-01
1.816406250000000000e-01	7.226562500000000000e-01
1.000000000000000000e+00	7.617187500000000000e-01
9.375000000000000000e-02	1.015625000000000000e+00
9.140625000000000000e-01	1.000000000000000000e+00
4.453125000000000000e-01	8.398437500000000000e-01
1.007812500000000000e+00	1.000000000000000000e+00
1.007812500000000000e+00	9.726562500000000000e-01
8.984375000000000000e-01	8.906250000000000000e-01
9.492187500000000000e-01	1.015625000000000000e+00
1.350402832031250000e-03	1.000000000000000000e+00
1.007812500000000000e+00	5.117187500000000000e-01
9.921875000000000000e-01	1.000000000000000000e+00
1.000000000000000000e+00	9.843750000000000000e-01
6.054687500000000000e-01	8.554687500000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00
1.007812500000000000e+00	1.007812500000000000e+00
1.000000000000000000e+00	1.007812500000000000e+00
9.140625000000000000e-01	1.000000000000000000e+00
